873,extend,を延長する
874,float,を浮かべる
875,illustrate,を例証する
876,imply,をほのめかす
877,indicate,を指摘する
878,insert,を挿入する
879,instruct,に指導する
880,insult,を侮辱する
881,interfere,邪魔する
882,interpret,を解釈する
883,irritate,をいらいらさせる
884,justify,を正当化する
885,launch,を打ち上げる
886,lay,（卵）を産む
887,lean,傾く
888,link,を関連付ける
889,manufacture,を製造する
890,march,行進する
891,master,を習得する
892,modify,を修正する
893,monitor,を監視する
894,motivate,（人）を動機づける
895,multiply,（数）に掛ける
896,oblige,（人）に余儀なくさせる
897,occupy,を占める
898,offend,（人）の感情を害する
899,overcome,を克服する
900,overlap,重なり合う
901,owe,を負う
902,panic,慌てふためく
903,perceive,を思う
904,permit,（人）に許可する
905,pile,を積み重ねる
906,polish,を磨く
907,pollute,を汚染する
908,postpone,を延期する
909,purify,を浄化する
910,puzzle,を悩ませる
911,rebuild,を改築する
912,recruit,（人）を採用する
913,reflect,を反射する
914,refrain,差し控える
915,reject,を拒絶する
916,reply,返答する
917,reproduce,繁殖する
918,rescue,を救う
919,resign,辞任する
920,resist,に抵抗する
921,review,を見返す
922,revise,を改訂する
923,revolve,回転する
924,rewrite,を書き換える
925,roast,を焼く
926,roll,転がる
927,ruin,を損なう
928,scratch,を引っかく
929,seek,を探し求める
930,settle,定住する
931,sigh,ため息をつく
932,skim,にざっと目を通す
933,slide,を滑らせる
934,sneeze,くしゃみをする
935,sniff,のにおいをかぐ
936,soak,をびしょぬれにする
937,split,を分ける
938,starve,飢える
939,stir,をかき回す
1252,call out,～を大声で叫ぶ
1253,care about,～をを気遣う
1254,care for,～の世話をする
1255,carry on,続ける
1256,carry out,～を遂行する
1257,check in,宿泊手続きをする、チェックインする
1258,check out,（本）を借りる、チェックアウトする
1259,come across,～に偶然出会う
1260,come by,～を手に入れる
1261,come out,（～番の）成績を取る
1262,come up with,～を思い付く
1263,complain about,～について不満を言う
1264,consist of,～から成り立つ
1265,contribute to,～の一因となる、～に貢献する
1266,cope with,～をうまく処理する
1267,count on,～を頼りにする
1268,cross out,～を線を引いて消す
1269,cut down on,～を削減する
1270,cut off,～を孤立させる
1271,deal with,～を処理する
1272,depend on,～次第である
1273,die out,絶滅する
1274,disagree about,～について意見が合わない
